FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;ANCIEN_DIPLOME_1;ANCIEN_DIPLOME_2;ANCIEN_DIPLOME_3;ANCIEN_DIPLOME_4;ANCIEN_DIPLOME_5;ANCIEN_DIPLOME_6;ANCIEN_DIPLOME_7;NOUVEAU_DIPLOME_1;NOUVEAU_DIPLOME_2;NOUVEAU_DIPLOME_3;NOUVEAU_DIPLOME_4;NOUVEAU_DIPLOME_5;NOUVEAU_DIPLOME_6;NOUVEAU_DIPLOME_7;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;NB_MEF_OUVERT;NB_MEF_FERME;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DATE_SESSION_RATTRAPAGE;OBSERVATION;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
50022111;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;S;PRODUCTION;501701;CAP;BOULANGER;BOULANGER (CAP);01/09/1988;31/08/2003;;;;;;;;50022132;;;;;;;;1990;2003;01/09/1988;31/07/2002;25/07/1989;13/11/1989;;;;;;;;;REMPLACE PAR LE CAP DE MÊME INTITULE  (50022132S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;541;Traitement des produits alimentaires;;1CAP2 fermé avec retard d'1an (Cf date de publication de l' arrêté).;;;;03;NIVEAU 3
45321204;453;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU IV;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;P;ORGANISATION GESTION;;BPA4;RESP ENTR HIPPIQUE;RESPONSABLE D'ENTREPRISE HIPPIQUE (BP);01/09/2012;;;;;;;;;;;;;;;;O;2013;;18/05/2012;;;;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;MAP DGER MISSI;06/01/2021;1;0;;600;AGRICULTURE;;;;0800;Agriculture, sylviculture et halieutique et sciences vétérinaires;04;NIVEAU 4
50022102;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;S;PRODUCTION;501804;CAP;ABAT.TRANSF.VIAND.GROS  1E A.COM.;ABATTAGE ET TRANSFORMATION DES VIANDES AU STADE DE GROS 1ERE ANNEE COMMUNE CAP;11/10/1977;31/08/1993;;;;;;;;;;;;;;;;;;11/10/1977;11/12/1996;;;;;;;;;;;CORRESPOND A LA 1ERE ANNEE COMMUNE DE 50022114S & 50022115S (1ERES ANNEES RECREEES POUR CHAQUE OPTION). CES DIPLÔME SONT ABROGES.;T;ANNEE COMMUNE OU TRONC COMMUN;DGESCO A2-3;10/12/2020;0;1;;999;INCONNU ou non précisé;;2 OPTIONS : A -BOVINS, OVINS (50022114S), B -PORCINS (50022115S).;;;;03;NIVEAU 3
36322111;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;W;COMMERCIALISATION;;CSA NIV3;RESP TECHCOM IND AGROALIM LAITIER;RESPONSABLE TECHNICO-COMMERCIAL EN INDUSTRIES AGRO-ALIMENTAIRES : PRODUITS LAITIERS (CSA);01/09/2001;;;;;;;;;;;;;;;;;2002;2002;09/07/2001;;;;;;;;;;;;RS 2001 arrété JO 20/7/2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36321005;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;N;CONCEPTION;;CSA NIV3;TECH CONSEIL SYS INFORMATI APPLIQ;TECHNICIEN CONSEIL EN SYSTEMES INFORMATISES APPLIQUES A L'AGRICULTURE (CSA);01/09/2001;;;;;;;;;;;;;;;;;2002;;09/07/2001;;;;;;;;;;;;RS2001 arrété JO 20/7/2001 remplace 36321001 AGRO-INFORMATIQUE;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;482;Utilisation de l'ordinateur;;;;0611;Utilisation d'un ordinateur;05;NIVEAU 5
36321106;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV3;GESTION DES ARBRES D'ORNEMENT;GESTION DES ARBRES D'ORNEMENT (CSA);01/09/2001;;;;;;;;;;;;;;;;;2002;;09/07/2001;;;;;;;;;;;;RS2001 arrété JO 20/7/2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;622;Horticulture;;;;0812;Horticulture;05;NIVEAU 5
36321401;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;214;AMENAGEMENT PAYSAGER (PARCS, ...);M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CSA NIV3;COLLAB DU  CONCEPTEUR PAYSAGISTE;COLLABORATEUR DU CONCEPTEUR PAYSAGISTE (CSA);01/09/2001;;;;;;;;;;;;;;;;;2002;;;;;;;;;;;;;;RS2001 arrété JO 20/7/2001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;622;Horticulture;;;;0812;Horticulture;05;NIVEAU 5
36321007;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;W;COMMERCIALISATION;;CSA NIV3;RESP TECHCOM EN AGROFOURNITURES;RESPONSABLE TECHNICO COMMERCIAL EN AGROFOURNITURES (CSA);01/09/2002;;;;;;;;;;;;;;;;;2003;;;;;;;;;;;;;;RS2002 Mail DGER 19/6/2002;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36321104;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;W;COMMERCIALISATION;;CSA NIV3;RESP TECHCOM HORTICULT ORNEMENTAL;RESPONSABLE TECHNICO COMMERCIAL : HORTICULTURE ORNEMENTALE (CSA);01/09/2000;;;;;;;;;;;;;;;;;2001;;10/07/2000;;;;;;;;;;;;Mail DGER DeRambure 27/6/2000;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36322104;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;W;COMMERCIALISATION;;CSA NIV3;TECH-COM ENTR AGR PARA AGRO-ALIM ;RESPONSABLE TECHNICO-COMMERCIAL DES ENTREPRISES AGRICOLES PARA-AGRICOLES ET AGRO-ALIMENTAIRES (CSA);29/01/1985;;;;;;;;;;;;;;;;;1985;;29/01/1985;;;;;;;;;;;;JO20/02/85 RS2002 Rénovation en cours;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36321102;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV3;TECHNIQ D'AGRICULTURE BIOLOGIQUE ;TECHNIQUES D'AGRICULTURE BIOLOGIQUE (CSA);10/07/1986;;;;;;;;;;;;;;;;;1987;;10/07/1986;;;;;;;;;;;;JO25/07/86;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;05;NIVEAU 5
36321204;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;P;ORGANISATION GESTION;;CSA NIV3;AUTOMAT GEST INFORM ELEV LAITIER ;AUTOMATISME ET GESTION TECHNICO-ECONOMIQUE INFORMATISEE EN ELEVAGE LAITIER (CSA);23/07/1990;;;;;;;;;;;;;;;;;1991;;23/07/1990;;;;;;;;;;;;JO11/08/90;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;05;NIVEAU 5
50025006;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;250;SPEC.PLURITECHNO MECANIQUE-ELECTRICITE;R;CONTROLE PREVENTION ENTRETIEN;502327;CAP;MAINTENANCE ET AFFUTAGE;MAINTENANCE ET AFFUTAGE (CAP);01/01/1992;31/08/1998;;;;;;;;;;;;;;;;;;01/01/1992;;;;;;;;;;;;ERREUR. CREATION ANTICIPEE JAMAIS CONFIRMEE.  FERMETURE MEF 31/08/1993. FERMETURE DIP. SEULEMENT LORS PREP. RS98. MEF ET DIPLOME A SUPPRIMER : SPN.;Z;ERREUR - SUPPRESSION POSSIBLE;SPN E51 1996;10/12/2020;0;3;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
36321302;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;213;FORETS, ESPACES NATURELS, FAUNE, PECHE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CSA NIV3;AGRI AMENAG RURAL ZONES MONTAGNE;AGRICULTURE ET AMENAGEMENT RURAL DES ZONES DE MONTAGNE ET DEFAVORISEES (CSA);15/02/1996;;;;;;;;;;;;;;;;;1985;;22/08/1984;;;;;;;;;;;;JO01/09/84 RS2002 Rénovation en cours;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;850;Protection de l'environnement;;;;0521;Sciences environnementales;05;NIVEAU 5
36322101;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;R;CONTROLE PREVENTION ENTRETIEN;;CSA NIV3;GEST PROMO QUALITE PROD FIL LAIT;SPECIALISTE EN GESTION ET PROMOTION DE LA QUALITE DES PRODUITS DE LA FILIERE LAIT (CSA);15/02/1996;;;;;;;;;;;;;;;;;1985;;22/08/1984;;;;;;;;;;;;JO01/09/84 RS 2002 Rénovation en cours;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;541;Traitement des produits alimentaires;;;;0721;Traitement des aliments;05;NIVEAU 5
32033421;320;BREVET DE TECHNICIEN SUPERIEUR;334;ACCUEIL, HOTELLERIE, TOURISME;T;REALISATION DU SERVICE;;BTS CM-NIV;MISE A NIVEAU HOTEL.RESTAURATION;HOTELLERIE RESTAURATION (CLASSE DE MISE A NIVEAU);01/09/2018;;32033405;;;;;;;;;;;;;;;;;19/02/2018;;11/10/2018;16/12/2019;;;;;;;;;;N;CLASSE DE MISE A NIVEAU;DGESIP A2;10/12/2020;1;0;;811;Hôtellerie et services de restauration;;;;1013;Hôtellerie et services de restauration;05;NIVEAU 5
36321006;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;W;COMMERCIALISATION;;CSA NIV3;VENTE EXPORT PROD AGRIC AGROALIM;VENTE A L'EXPORTATION DES PRODUITS AGRICOLES ET AGROALIMENTAIRES (CSA);01/09/1996;;;;;;;;;;;;;;;;;1986;;27/03/1985;;;;;;;;;;;;JO 11/04/1985 Créé RS2001 arrété ? Remplace le 36322105 Vente à l'exportation IAA Mauvais groupe NSF / le 36321003 Assistant = projet jamais créé;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
50024312;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;243;CUIRS ET PEAUX;S;PRODUCTION;502231;CAP;FABRICATION DE VETEMENTS DE PEAUX;FABRICATION DE VETEMENTS DE PEAUX (CAP);27/03/1990;31/08/1999;;;;;;;;50024319;;;;;;;;1992;1999;27/03/1990;21/08/1998;24/06/1991;;;;;;;;;;REMPLACE PAR LE CAP VÊTEMENT DE PEAUX (50024319S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;542;Textile, vêtement,chaussure et cuir;;;;;;03;NIVEAU 3
50023425;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502343;CAP;FABR.INDUST.MOBILIER & MENUISERIE;FABRICATION INDUSTRIELLE DE MOBILIER ET MENUISERIE (CAP);11/06/1987;31/08/2004;;;;;;;;50023441;;;;;;;O;1988;2004;11/06/1987;15/07/2003;11/01/1988;10/11/1989;30/12/1992;;;;;;;;REMPLACE, AVEC LE CAP MENUISERIE  AGENCEMENT (50023424S), PAR LE CAP MENUISIER FABRICANT DE MENUISERIE, MOBILIER & AGENCEMENT (50023441S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;543;Matériaux (bois, papier, plastique, verre);;;;;;03;NIVEAU 3
50023424;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502342;CAP;MENUISERIE AGENCEMENT;MENUISERIE - AGENCEMENT (CAP);11/06/1987;31/08/2004;;;;;;;;50023441;;;;;;;O;1988;2004;11/06/1987;15/07/2003;11/01/1988;10/11/1989;30/12/1992;;;;;;;;REMPLACE, AVEC LE CAP FABRICATION INDUSTRIELLE DE MOBILIER & MENUISERIE (50023425S), PAR LE CAP MENUISIER FABRICANT DE MENUISERIE, MOBILIER & AGENCEMENT (50023441S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;543;Matériaux (bois, papier, plastique, verre);;;;;;03;NIVEAU 3
50023423;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502341;CAP;STRUCTURE OSSATURE CHARPENTE;STRUCTURE OSSATURE CHARPENTE (CAP);11/06/1987;31/08/1994;;;;;;;;50023401;;;;;;;O;1988;1994;11/06/1987;30/12/1992;11/01/1988;09/08/1989;10/11/1989;;;;;;;;REMPLACE PAR LE CAP CHARPENTE (50023401S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50023422;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502334;CAP;TONNELIER;TONNELIER (CAP);29/01/1982;31/08/1995;;;;;;;;50023435;;;;;;;;1982;1994;29/01/1982;28/07/1993;28/07/1993;;;;;;;;;;REMPLACE PAR LE CAP TONNELLERIE (50023435S).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
36321205;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;N;CONCEPTION;;CSA NIV3;TECHN CONSEIL PRODUCTION LAITIERE;TECHNICIEN CONSEIL EN PRODUCTION LAITIERE (CSA);01/09/1998;;;;;;;;;;;;;;;;;2000;;09/06/1999;;;;;;;;;;;;JO23/06/99.  Basé sur le référentiel du BTSA Analyse et conduite de systèmes d'exploitation. 560H. Remplace CSA de niv 4 Technicien spécialisé dans la conduite de l'élevage bovin 46321203.;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;05;NIVEAU 5
36322107;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;N;CONCEPTION;;CSA NIV3;AUTOMATISATION IND LAITIERE - IAA;AUTOMATISATION DANS L'INDUSTRIE LAITIERE ET AGROALIMENTAIRE (CSA);01/09/1999;31/08/2020;;;;;;;;;;;;;;;;2000;;09/06/1999;;;;;;;;;;;;JO23/06/99. Basé sur le référentiel du BTSA Industries agro-alimentaires. 560H. Remplace CSA Spécialiste en automatisation en industrie laitière 36322106;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;0;1;;541;Traitement des produits alimentaires;;;;0721;Traitement des aliments;05;NIVEAU 5
36331201;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;312;COMMERCE, VENTE;T;REALISATION DU SERVICE;;CSA NIV3;TECHNICO COM VINS DERIV: COMMERCE;RESPONSABLE TECHNICO COMMERCIAL EN VINS ET PRODUITS DERIVES : ORIENTATION COMMERCE (CSA);01/09/1999;;;;;;;;;;;;;;;;;2000;;09/06/1999;;;;;;;;;;;;JO23/06/99. Remplace le CSA Commerciallisation des vins et produits dérivés 36321101;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;541;Traitement des produits alimentaires;;;;0721;Traitement des aliments;05;NIVEAU 5
46321302;463;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;213;FORETS, ESPACES NATURELS, FAUNE, PECHE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;CSA NIV4;TECHNICIEN CYNEGETIQUE;TECHNICIEN CYNEGETIQUE (CSA);01/09/2005;;;;;;;;;;;;;;;;O;2006;;08/08/2005;;;;;;;;;;;;Corrrection du CS du même nom - erreur de niveau;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;850;Protection de l'environnement;;;;0521;Sciences environnementales;04;NIVEAU 4
36331202;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;312;COMMERCE, VENTE;T;REALISATION DU SERVICE;;CSA NIV3;TECHNICO COM VINS DERIV : PRODUIT;RESPONSABLE TECHNICO COMMERCIAL EN VINS ET PRODUITS DERIVES : ORIENTATION PRODUIT (CSA);01/09/1999;;;;;;;;;;;;;;;;;2000;;09/06/1999;;;;;;;;;;;;JO23/06/99Remplace le CSA Commerciallisation des vins et produits dérivés 36321101;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;541;Traitement des produits alimentaires;;;;0721;Traitement des aliments;05;NIVEAU 5
36321211;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;W;COMMERCIALISATION;;CSA NIV3;RESP TECHCOM PRODUITS CARNES;RESPONSABLE TECHNICO COMMERCIAL : PRODUITS CARNES (CSA);01/09/2000;;;;;;;;;;;;;;;;;2001;;10/07/2000;;;;;;;;;;;;Mail DGER DeRambure 27/6/2000;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36321105;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;W;COMMERCIALISATION;;CSA NIV3;RESP TECHCOM FRUITS ET LEGUMES;RESPONSABLE TECHNICO COMMERCIAL : FRUITS ET LEGUMES (CSA);01/09/2000;;;;;;;;;;;;;;;;;2001;;10/07/2000;;;;;;;;;;;;Mail DGER DeRambure 27/6/2000;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;341;Vente en gros et au détail;;;;0416;Vente en gros et au détail;05;NIVEAU 5
36321103;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;N;CONCEPTION;;CSA NIV3;TECH CONSEIL AGRICULTURE BIOLOGIQ;TECHNICIEN CONSEIL EN AGRICULTURE BIOLOGIQUE (CSA);01/09/2000;;;;;;;;;;;;;;;;;2001;;;;;;;;;;;;;;Mail DGER DeRambure 27/6/2000;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;05;NIVEAU 5
36331403;363;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;314;COMPTABILITE, GESTION;T;REALISATION DU SERVICE;;CSA NIV3;TECH CONSEIL COMPTA GESTION AGRI;TECHNICIEN CONSEIL EN COMPTABILITE ET GESTION AGRICOLES (CSA);01/09/2001;;;;;;;;;;;;;;;;;2002;;09/07/2001;;;;;;;;;;;;RS2001 arrété JO 20/7/2001abroge 36331401 et 36331402;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;344;Comptabilité et fiscalité;;;;0411;Comptabilité et fiscalité;05;NIVEAU 5
45321203;453;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU IV;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BPA4;EDUCATEUR CANIN;EDUCATEUR CANIN (BP);01/09/2001;;;;;;;;;;;;;;;;O;2002;;03/03/2005;;;;;;;;;;;;Reglement géneral du BPA décret 90-305 du 3/4/1990 Agriculture et pêche;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;06/01/2021;1;0;;621;Production agricole et animale;;;;0811;Culture et élevage;04;NIVEAU 4
45321403;453;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU IV;214;AMENAGEMENT PAYSAGER (PARCS, ...);P;ORGANISATION GESTION;;BPA4;AMENAG PAYSAGERS;AMENAGEMENTS PAYSAGERS (BP);01/09/2009;;;;;;;;;;;;;;;;O;2010;;28/05/2009;;;;;;;;;;;;Renovation du BP Travaux paysagers (Code 45321401). Apprentissage.;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;MAAP DGER MISSI;06/01/2021;1;0;;622;Horticulture;;;Remplace le BP Travaux paysagers mis en place en 1995;0812;Horticulture;04;NIVEAU 4
45321103;453;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU IV;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;S;PRODUCTION;;BPA4;RESP AT PROD HORTI;RESPONSABLE D'ATELIER DE PRODUCTIONS HORTICOLES (BP);01/09/2011;;;;;;;;;;;;;;;;O;2012;;18/07/2011;;;;;;;;;;;;Rénovation des 4 sp du BPA4 Productions hortricoles;1;DIPLOME NATIONAL / DIPLOME D'ETAT;MAP DGER MISSI;06/01/2021;1;0;;622;Horticulture;;;;0812;Horticulture;04;NIVEAU 4
50025510;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;255;ELECTRICITE, ELECTRONIQUE;R;CONTROLE PREVENTION ENTRETIEN;501119;CAP;ELECTR.ENTR.CENTRALES THERM./HYDR;ELECTRICIEN D'ENTRETIEN DES CENTRALES THERMIQUES OU HYDRAULIQUES AGENT D'EXPLOITATION DES CENTRALES THERMIQUES;;31/08/2000;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;EXAMEN DEPARTEMENTAL OU EQUIVALENT. DF 2000 PAR SPN. VOIR SI, COMME 50025128R, EST UN DIPLOME EDF.;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);NON DEFINI;10/12/2020;0;0;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50025509;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;255;ELECTRICITE, ELECTRONIQUE;S;PRODUCTION;501118;CAP;ELECTROBOBINAGE;ELECTROBOBINAGE (CAP);29/08/1991;31/08/2007;50025507;;;;;;;;;;;;;;N;1993;2006;29/08/1991;02/03/2005;;;;;;;;;;;A REMPLACE LE CAP ELECTROTECHNIQUE OPTION C BOBINIER 50025507S. ABROGE SANS REMPLACEMENT.;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;6;;522;Electricité et énergie;2007;Grille horaire provisoire n°1.;;;;03;NIVEAU 3
50025506;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;255;ELECTRICITE, ELECTRONIQUE;R;CONTROLE PREVENTION ENTRETIEN;501103;CAP;ELECTRICIEN AVIATION (REPARATION);ELECTRICIEN D'AVIATION (REPARATION);;31/08/2000;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;EXAMEN DEPARTEMENTAL OU EQUIVALENT. DF 2000 PAR SPN;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);NON DEFINI;10/12/2020;0;0;;522;Electricité et énergie;;;;;;03;NIVEAU 3
50023414;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502312;CAP;EBENISTE MARQUETEUR;EBENISTE MARQUETEUR;;31/08/2000;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;EXAMEN DEPARTEMENTAL OU EQUIVALENT. DF 2000 PAR SPN;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);SPN E51 1996;10/12/2020;0;0;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50023413;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;234;TRAVAIL DU BOIS ET DE L'AMEUBLEMENT;S;PRODUCTION;502311;CAP;EBENISTE AGENCEMENT DE MAGASINS;EBENISTE AGENCEMENT DE MAGASINS;;31/08/2000;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;EXAMEN DEPARTEMENTAL OU EQUIVALENT. DF 2000 PAR SPN;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);NON DEFINI;10/12/2020;0;0;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
