FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DIPLOME_SISE;N_DIPLOME_SISE.LIBELLE_INTITULE_1;HABILITATION_ORIGINE;NUMERO_UAI;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
25021111;250;LICENCE PROFESSIONNELLE;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;S;PRODUCTION;;LIC-PRO;PRODUCTIONS VEGETALES;PRODUCTIONS VEGETALES (LP TOULOUSE 3);01/09/2018;31/08/2021;;2006;;;;;;;;;;;;;;demande universite;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;622;Horticulture;2400161;PRODUCTIONS VEGETALES;20160308;0311384L;;0812;Horticulture;06;NIVEAU 6
25022022;250;LICENCE PROFESSIONNELLE;220;SPEC.PLURITECHNO DES TRANSFORMATIONS;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;ANALYSE QUALIT CTRL MATRX PRODTS;ANALYSE, QUALITE ET CONTROLE DES MATERIAUX PRODUITS (LP);01/09/2018;;;;;;;;;;;;;;;;;rncp 30044;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;540;Industries de transformation et de traitement;2400016;ANALYSE, QUALITE ET CONTROLE DES MATERIAUX PRODUITS;;;;0720;Industries de transformation et de traitement;06;NIVEAU 6
25022281;250;LICENCE PROFESSIONNELLE;222;TRANSFORMATIONS CHIMIQUES ET APPARENTEES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;IND PHARM COSM SANTE GEST PN VALO;INDUSTRIES PHARMACEUTIQUES, COSMETOLOGIQUES ET DE SANTE : GESTION, PRODUCTION ET VALORISATION (LP);01/09/2019;;;;;;;;;;;;;;;;;rncp 30075;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;524;Chimie et g�nie des proc�d�s;2400055;INDUSTRIES PHARMACEUTIQUES, COSMETOLOGIQUES ET DE SANTE : GESTION, PRODUCTION ET VALORISATION;;;;0711;Ing�nierie chimique et processus;06;NIVEAU 6
25031093;250;LICENCE PROFESSIONNELLE;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;MANAGEMENT ET GESTION DES ORG;MANAGEMENT ET GESTION DES ORGANISATIONS (LP BESANCON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;340;Commerce et administration;2400074;MANAGEMENT ET GESTION DES ORGANISATIONS;20170463;0251215K;;0410;Commerce et administration;06;NIVEAU 6
25032046;250;LICENCE PROFESSIONNELLE;320;SPECIALITES PLURIVAL.DE LA COMMUNICATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;CHARGE DE COMMUNICATION;METIERS DE LA COMMUNICATION : CHARGE DE COMMUNICATION (LP BESANCON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;320;Journalisme et information;2400077;METIERS DE LA COMMUNICATION : CHARGE DE COMMUNICATION;20170464;0251215K;;0320;Journalisme et information;06;NIVEAU 6
25032047;250;LICENCE PROFESSIONNELLE;320;SPECIALITES PLURIVAL.DE LA COMMUNICATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;COMMUNICATION EVENEMENTIEL;METIERS DE LA COMMUNICATION : CHARGE DE EVENEMENTIEL (LP BESANCON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;320;Journalisme et information;2400079;METIERS DE LA COMMUNICATION : EVENEMENTIEL;20170465;0251215K;;0320;Journalisme et information;06;NIVEAU 6
25032303;250;LICENCE PROFESSIONNELLE;323;TECHNIQUES DE IMAGE, SON, SPECTACLE;N;CONCEPTION;;LIC-PRO;TECHNIQUES DU SON ET DE L'IMAGE;TECHNIQUES DU SON ET DE L'IMAGE (LP POITIERS);01/09/2006;31/08/2023;;;;;;;;;;;;;;;;anc hab 20080125;1;DIPLOME NATIONAL / DIPLOME D'ETAT;;10/12/2020;;213;Techniques audiovisuelles et production m�dia;2400169;TECHNIQUES DU SON ET DE L'IMAGE;20161193;0860856N;;0211;Techniques audiovisuelles et production multim�dia;06;NIVEAU 6
1351281X;135;MASTER PROFESSIONNEL;128;DROIT, SCIENCES POLITIQUES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;MASTER PRO;DROIT PUBLIC DES AFFAIRES;DROIT PUBLIC DES AFFAIRES (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34153;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;380;Droit;2500048;DROIT PUBLIC DES AFFAIRES;;;;0421;Droit;07;NIVEAU 7
1351281Y;135;MASTER PROFESSIONNEL;128;DROIT, SCIENCES POLITIQUES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;MASTER PRO;DROIT DE LA SANTE;DROIT DE LA SANTE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31492;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;720;Sant�;2500061;DROIT DE LA SANTE;;;;0910;Sant�;07;NIVEAU 7
1351282A;135;MASTER PROFESSIONNEL;128;DROIT, SCIENCES POLITIQUES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;MASTER PRO;SCIENCE POLITIQUE;SCIENCE POLITIQUE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31506;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;300;SCIENCES SOCIALES, COMMERCE ET DROIT;2500040;SCIENCE POLITIQUE;;;;0300;Sciences sociales, journalisme et information;07;NIVEAU 7
1353261F;135;MASTER PROFESSIONNEL;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER BESANCON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande cfa sup fc;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2500164;INFORMATIQUE;20170450;0251215K;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
2503262S;250;LICENCE PROFESSIONNELLE;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;INFORMATIQUE APPLICATIONS WEB;METIERS DE L'INFORMATIQUE : APPLICATIONS WEB (LP TOULOUSE 3);01/09/2018;31/08/2021;;;;;;;;;;;;;;;;demande universite;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2400131;METIERS DE L'INFORMATIQUE : APPLICATIONS WEB;20160296;0311384L;;0612;Conception et administration de bases de donn�es et de r�seau;06;NIVEAU 6
20532601;205;LICENCE LMD;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC LMD;LICENCE LMD : MIAGE;SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE (LICENCE AMIENS);01/09/2004;31/08/2013;;;;;;;;;;;;;;;;CFA IRFA API SUP non remonte;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;481;Sciences informatiques;2100927;SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE;20081376;0801344B;;;;06;NIVEAU 6
25022117;250;LICENCE PROFESSIONNELLE;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;IAAA : CONDITIONNEMENT;INDUSTRIE AGRO ALIMENTAIRE, ALIMENTATION SPE CONDITIONNEMENT DES PRODUITS ALIMENTAIRES (LP LYON 1);01/06/2007;31/08/2010;;2008;;;;;;;;;;;;;;code jamais remonte;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;541;Traitement des produits alimentaires;2005947;INDUSTRIE AGRO-ALIMENTAIRE, ALIMENTATION;20070643;0691774D;;;;06;NIVEAU 6
25031545;250;LICENCE PROFESSIONNELLE;315;RESSOURCES HUMAINES GESTION DU PERSONNEL;P;ORGANISATION GESTION;;LIC-PRO;METIERS DE LA GRH ASSISTANT;METIERS DE LA GRH : ASSISTANT (LP NANTES);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2400091;METIERS DE LA GRH : ASSISTANT;20170788;0440984F;;0413;Gestion et administration;06;NIVEAU 6
25034004;250;LICENCE PROFESSIONNELLE;340;SPEC.PLURIVAL.DES SERVICES A LA COLLECT.;R;CONTROLE PREVENTION ENTRETIEN;;LIC-PRO;IMMOBILIER SANTE SECURITE HABITAT;SECURITE DES BIENS ET DES PERSONNES SPE CONTROLE TECHNIQUE DE L'IMMOBILIER : SANTE ET SECURITE DE L'HABITAT (LP LIMOGES);01/09/2013;31/08/2018;;;;;;;;;;;;;;;;remplace par le 25034411 avec le 25034405;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;850;Protection de l'environnement;2008064;SCIENCES HUMAINES ET SOCIALES : INTERVENTION, EDUCATION ET FORMATION;2006420;0870669E;;0521;Sciences environnementales;06;NIVEAU 6
13512407;135;MASTER PROFESSIONNEL;124;PSYCHOLOGIE;G;APPLICATIONS AUX ACTIVITES DE SERVICES;;MASTER PRO;PSY SOCIALE TRAVAIL ORGANISATIONS;PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 31811;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;310;Sciences sociales et du comportement;2500115;PSYCHOLOGIE SOCIALE, DU TRAVAIL ET DES ORGANISATIONS;;;;0310;Sciences sociales et du comportement;07;NIVEAU 7
13512606;135;MASTER PROFESSIONNEL;126;HISTOIRE;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;MASTER PRO;HISTOIRE;HISTOIRE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;224;Histoire, philosophie et mati�res apparent�es;2500073;HISTOIRE;;;;0222;Histoire et arch�ologie;07;NIVEAU 7
13520023;135;MASTER PROFESSIONNEL;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;INGENIERIE DES SYSTEMES COMPLEXES;INGENIERIE DES SYSTEMES COMPLEXES (MASTER NANTES);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;520;Ing�nierie et techniques apparent�es;2500196;INGENIERIE DES SYSTEMES COMPLEXES;20170866;0440984F;;0710;Ing�nierie et techniques apparent�es;07;NIVEAU 7
13531549;135;MASTER PROFESSIONNEL;315;RESSOURCES HUMAINES GESTION DU PERSONNEL;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;GESTION DES RESSOURCES HUMAINES;GESTION DES RESSOURCES HUMAINES (MASTER ANGERS);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2500034;GESTION DES RESSOURCES HUMAINES;20170942;0490970N;;0413;Gestion et administration;07;NIVEAU 7
13532627;135;MASTER PROFESSIONNEL;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;INFORMATIQUE;INFORMATIQUE (MASTER MARNE LA VALLEE);01/09/2005;31/08/2020;;;;;;;;;;;;;;;;cfa descartes remplace sise 2204684 hab 20042390;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPP C1;10/12/2020;;481;Sciences informatiques;2500164;INFORMATIQUE;20150523;0772502B;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
13533104;135;MASTER PROFESSIONNEL;331;SANTE;W;COMMERCIALISATION;;MASTER PRO;MARKETING DE LA SANTE;SCIENCES ET TECHNOLOGIES : SANTE PUBLIQUE ET MANAGEMENT DE LA SANTE SPE MARKETING DE LA SANTE (MASTER PARIS 6);01/09/2004;31/08/2013;;;;;;;;;;;;;;;;voir 13533110 derniers apprentis en 2010-11;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;;;2211859;SCIENCES ET TECHNOLOGIES : SANTE PUBLIQUE ET MANAGEMENT DE LA SANTE;20041316;0751722P;;;;07;NIVEAU 7
25023058;250;LICENCE PROFESSIONNELLE;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;BTP BATIMENT ET CONSTRUCTION;METIERS DU BTP : BATIMENT ET CONSTRUCTION (LP LE MANS);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;582;B�timent et g�nie civil;2400142;METIERS DU BTP : BATIMENT ET CONSTRUCTION;20170731;0720916E;;0732;Construction et g�nie civil;06;NIVEAU 6
25023059;250;LICENCE PROFESSIONNELLE;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;METIERS DU BTP TRAVAUX PUBLICS;METIERS DU BTP : TRAVAUX PUBLICS (LP LE MANS);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;582;B�timent et g�nie civil;2400141;METIERS DU BTP : TRAVAUX PUBLICS;20170747;0720916E;;0732;Construction et g�nie civil;06;NIVEAU 6
25031092;250;LICENCE PROFESSIONNELLE;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;MANAGEMENT ET GESTION DES ORG;MANAGEMENT ET GESTION DES ORGANISATIONS (LP ANGERS);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;340;Commerce et administration;2400074;MANAGEMENT ET GESTION DES ORGANISATIONS;20170898;0490970N;;0410;Commerce et administration;06;NIVEAU 6
25031252;250;LICENCE PROFESSIONNELLE;312;COMMERCE, VENTE;P;ORGANISATION GESTION;;LIC-PRO;MANAGT ORG COLLAB DIR PMO;MANAGEMENT DES ORGANISATIONS SPE ASSISTANT MANAGER PMO (LP VERSAILLES);01/09/2005;31/08/2015;;2006;;;;;;;;;;;;;;remplace avec le 25031011 par le 25031073;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2007752;MANAGEMENT DES ORGANISATIONS;20051234;0781944P;;0413;Gestion et administration;06;NIVEAU 6
25031253;250;LICENCE PROFESSIONNELLE;312;COMMERCE, VENTE;P;ORGANISATION GESTION;;LIC-PRO;CCE COLLAB ACTIV INTERN;COMMERCE SPE COLLABORATEUR DES ACTIVITES INTERNATIONALES (LP PARIS 4);01/09/2005;31/08/2019;;2005;;;;;;;;;;;;;;remplace 2503100A Paris 4 (changement de NSF);1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;341;Vente en gros et au d�tail;2005360;COMMERCE;20100396;0751720M;;0416;Vente en gros et au d�tail;06;NIVEAU 6
25034329;250;LICENCE PROFESSIONNELLE;343;NETTOYAGE, ASSAIN., PROTECTION ENVIRONMT;R;CONTROLE PREVENTION ENTRETIEN;;LIC-PRO;MESUR QLITE MILIEUX AIR EAUX SOLS;PROTECTION DE L'ENVIRONNEMENT SPE MESURE DE LA QUALITE DES MILIEUX : AIR, EAUX, SOLS (LP LIMOGES);01/08/2014;31/08/2018;;;;;;;;;;;;;;;;remplace par le 25034342 avec les 25034328 et 25034326;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;850;Protection de l'environnement;2003839;PROTECTION DE L'ENVIRONNEMENT;20050884;0870669E;;0521;Sciences environnementales;06;NIVEAU 6
2503122S;250;LICENCE PROFESSIONNELLE;312;COMMERCE, VENTE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;COMMERCE ET DISTRIBUTION;COMMERCE ET DISTRIBUTION (LP NANTES);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;341;Vente en gros et au d�tail;2400030;COMMERCE ET DISTRIBUTION;20170782;0440984F;;0416;Vente en gros et au d�tail;06;NIVEAU 6
2503262V;250;LICENCE PROFESSIONNELLE;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;SYSTEMES INFOR GESTION DE DONNEES;METIERS DE L'INFORMATIQUE : SYSTEMES D'INFORMATION ET GESTION DE DONNEES (LP NANTES);01/09/2018;31/08/2022;;;;;;;;;;;;;;;;demande region;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2400132;METIERS DE L'INFORMATIQUE : SYSTEMES D'INFORMATION ET GESTION DE DONNEES;20170812;0440984F;;0612;Conception et administration de bases de donn�es et de r�seau;06;NIVEAU 6
20532616;205;LICENCE LMD;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC LMD;INFORMATIQUE;INFORMATIQUE (LIC LMD AVIGNON);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande epure;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;481;Sciences informatiques;2300030;INFORMATIQUE;20141649;0840685N;;0612;Conception et administration de bases de donn�es et de r�seau;06;NIVEAU 6
13525516;135;MASTER PROFESSIONNEL;255;ELECTRICITE, ELECTRONIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;ELECTRONIQUE ENERJ ELECTRIQ AUTOM;ELECTRONIQUE, ENERGIE ELECTRIQUE, AUTOMATIQUE (MASTER LORRAINE);01/09/2018;31/08/2023;;;;;;;;;;;;;;;;remplace les 13520107 et 13511505;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;523;Electronique et automatisation;2500191;ELECTRONIQUE, ENERGIE ELECTRIQUE, AUTOMATIQUE;20180236;0542493S;;0714;�lectronique et automatisation;07;NIVEAU 7
13512212;135;MASTER PROFESSIONNEL;122;ECONOMIE;G;APPLICATIONS AUX ACTIVITES DE SERVICES;;MASTER PRO;INFO ING ECO FIN DES PROJETS;ECONOMIE - GESTION : ETUDES ECONOMIQUES : INFORMATION ET INGENIERIE ECONOMIQUE ET FINANCIERE DES PROJETS (MASTER PRO);01/09/2006;31/08/2009;;;;;;;;;;;;;;;;Univ Montpellier 1 CFA Hospitalisation Priv�e;1;DIPLOME NATIONAL / DIPLOME D'ETAT;;10/12/2020;;310;Sciences sociales et du comportement;2210804;ECONOMIE - GESTION : ETUDES ECONOMIQUES;20040201;0341087X;;;;07;NIVEAU 7
25031138;250;LICENCE PROFESSIONNELLE;311;TRANSPORT, MANUTENTION, MAGASINAGE;P;ORGANISATION GESTION;;LIC-PRO;LOGISTIQUE ET PILOTAGE DES FLUX;LOGISTIQUE ET PILOTAGE DES FLUX (LP AIX-MARSEILLE);01/09/2019;31/08/2023;;;;;;;;;;;;;;;;demande epure;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;345;Gestion et administration;2400061;LOGISTIQUE ET PILOTAGE DES FLUX;20180525;0134009M;;0413;Gestion et administration;06;NIVEAU 6
13512405;135;MASTER PROFESSIONNEL;124;PSYCHOLOGIE;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;MASTER PRO;PSYCHOLOGIE;PSYCHOLOGIE (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 32277;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;10/12/2020;;310;Sciences sociales et du comportement;2500117;PSYCHOLOGIE;;;;0310;Sciences sociales et du comportement;07;NIVEAU 7
13534207;135;MASTER PROFESSIONNEL;342;PROTECTION ET DEVELOPMT DU PATRIMOINE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;PATRIMOINE ET MUSEES;PATRIMOINE ET MUSEES (MASTER);01/09/2019;;;;;;;;;;;;;;;;;rncp 34848;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;05/07/2021;;345;Gestion et administration;2500155;PATRIMOINE ET MUSEES;;;;0413;Gestion et administration;07;NIVEAU 7
25031326;250;LICENCE PROFESSIONNELLE;313;FINANCES, BANQUE, ASSURANCES;P;ORGANISATION GESTION;;LIC-PRO;METIERS DE L'ASSURANCE;ASSURANCE, BANQUE, FINANCE SPE METIERS DE L'ASSURANCE (LP CNAM);01/09/2000;31/08/2012;;;;20/12/2007;;;;;;;;;;;;code deux fois. Voir le 25031301;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;343;Finance, banque, assurance;;;20001594;0753471R;;;;06;NIVEAU 6
25032504;250;LICENCE PROFESSIONNELLE;325;DOCUMENTATION, BIBLIOTH., ADMIN.DONNEES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;LIC-PRO;RESS DOC ET BASES DONNEES;RESSOURCES DOCUMENTAIRES ET BASES DE DONNEES SPE GESTION DE L'INFORMATION, DES ARCHIVES ET DE LA DOCUMENTATION (LP MULHOUSE);01/09/2007;31/08/2013;;;;;;;;;;;;;;;;Univ Mulhouse CFAU Alsace;1;DIPLOME NATIONAL / DIPLOME D'ETAT;;10/12/2020;;322;Biblioth�conomie, information, archivisme;2003066;RESSOURCES DOCUMENTAIRES ET BASES DE DONNEES;20014303;0681166Y;;;;06;NIVEAU 6
25020124;250;LICENCE PROFESSIONNELLE;201;TECHNO DE COMMANDE DES TRANSFO.INDUST.;N;CONCEPTION;;LIC-PRO;FABRICATION ENGRENAGES;PRODUCTION INDUSTRIELLE SPE INGENIERIE DE LA FABRICATION DES ENGRENAGES (LP LE HAVRE);01/09/2007;31/08/2012;;;;;;;;;;;;;;;;Universit� du Havre;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;521;M�canique et travail du m�tal;2005976;PRODUCTION INDUSTRIELLE;20070189;0762762P;;;;06;NIVEAU 6
13521301;135;MASTER PROFESSIONNEL;213;FORETS, ESPACES NATURELS, FAUNE, PECHE;P;ORGANISATION GESTION;;MASTER PRO;GEST INTGREE LITTORAL ECOSYSTMS;SCIENCES, TECHNOLOGIES, SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES SPE GESTION INTEGREE DU LITTORAL ET DES ECOSYSTEMES (MASTER CORSE);01/09/2005;31/08/2018;;;;;;;;;;;;;;;;remplace par le 13534331 avec les 13511805 et 13534320;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;850;Protection de l'environnement;2211748;SCIENCES, TECHNOLOGIES, SANTE : GESTION DE L'ENVIRONNEMENT ET VALORISATION DES RESSOURCES NATURELLES;20042266;7200664J;;0521;Sciences environnementales;07;NIVEAU 7
13522701;135;MASTER PROFESSIONNEL;227;ENERGIE, GENIE CLIMATIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;MASTER PRO;PHYSIQ APPLIQUEE INGENIER PHYSIQ;PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE (MASTER CORSE);01/09/2005;31/08/2023;;;;;;;;;;;;;;;;anc hab 20042261 sise 2211898;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;522;Electricit� et �nergie;2500172;PHYSIQUE APPLIQUEE ET INGENIERIE PHYSIQUE;20180463;7200664J;;0713;�lectricit� et �nergie;07;NIVEAU 7
20531301;205;LICENCE LMD;313;FINANCES, BANQUE, ASSURANCES;N;CONCEPTION;;LIC LMD;SHS INGE INFO ET MGT SERVICES;ECONOMIE ET GESTION (LIC LMD MARNE LA VALLEE);01/09/2004;31/08/2015;;;2015;;;;;;;;;;;;;cfa descartes remplace par le le 20531018;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;345;Gestion et administration;2300005;ECONOMIE ET GESTION;20141045;0772502B;;0413;Gestion et administration;06;NIVEAU 6
25021004;250;LICENCE PROFESSIONNELLE;210;SPEC.PLURIVAL.DE L'AGRONOMIE & AGRICULT.;P;ORGANISATION GESTION;;LIC-PRO;MAINTENANCE TECHNO SYSTM PLURITEC;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES (LP DIJON);01/09/2005;31/08/2023;;;;;;;;;;;;;;;;anc hab 20050295;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGES;10/12/2020;;345;Gestion et administration;2400068;MAINTENANCE ET TECHNOLOGIE : SYSTEMES PLURITECHNIQUES;20170517;0211237F;;0413;Gestion et administration;06;NIVEAU 6
